식품명	식품대분류	1회제공량	내용량_단위	에너지(㎉)	단백질(g)	지방(g)	탄수화물(g)	총당류(g)	나트륨(㎎)	콜레스테롤(g)	콜레스테롤(㎎)	총 포화 지방산(g)	트랜스 지방산(g)
선 냉동 유부	가공두부	10	g	415	0	0	0	0	10	0	0	0	0
유부	가공두부	80	g	348.8	16.38	29.06	5.44	0	17.28	0	0	0	0
유부	가공두부	80	g	234.88	15.3	18.69	1.41	0	11.52	0	0	0	0
유부	가공두부	80	g	225.92	11.9	21.18	1.79	1.07	8.32	0	0	0	0
조미유부	가공두부	80	g	117.76	5.25	6.78	8.83	7.53	5.76	0	0	0	0
초밥유부	가공두부	80	g	148.91	11.56	7.72	8.79	1.07	225.71	0	0	0	0
초밥의 달인 나들이 행복기획	가공두부	80	g	150	6	6	17	17	720	0	5	1	0
유부	가공두부	80	g	234.88	15.3	18.69	1.41	0	11.52	0	0	0	0
조미유부	가공두부	80	g	117.76	5.25	6.78	8.83	7.53	5.76	0	0	0	0
초밥의 달인	가공두부	85	g	180	7	10	16	10	820	0	0	0.8	0
새콤달콤 유부초밥	가공두부	100	g	160	7	6	20	10	800	0	0	1.1	0
새콤달콤 유부초밥 가족나들이세트	가공두부	100	g	160	7	6	20	10	800	0	0	1.1	0
고소한 유부초밥	가공두부	100	g	200	12	10	20	15	1020	0	3	1.8	0
새콤달콤유부초밥 한정나들이세트	가공두부	100	g	160	7	6	20	11	850	0	0	1.1	0
클래식	가공두부	114	g	55	4	0.8	8	1	140	0	0	0	0
두부봉 치즈	가공두부	180	g	270	15	15	20	7	890	0	15	4.7	0.5
두부봉	가공두부	180	g	275	14	16	20	8	780	0	0	4.3	0.5
총각네 두유	가공두유	30	g	90	5	4.1	8	6	90	0	0	0.5	0
달콤한베지밀비	가공두유	100	mL	63	3	3.1	0	5	84	0	0	0.8	0
삼육두유 검은 콩 칼슘	가공두유	120	g	140	0	0	0	10	0	0	0	0	0
삼육두유검은콩호두와아몬드	가공두유	140	mL	150	0	6	0	10	160	0	0	0	0
삼육두유 검은콩호두와 아몬드	가공두유	140	mL	150	0	6	0	10	160	0	0	0	0
한살림 두유	가공두유	160	g	74	0	0	0	1.8	0	0	0	0	0
한살림 검은콩두유	가공두유	160	g	76	5	3.2	7	2	135	0	0	0.3	0
진양콩으로 진하게 짜낸 두유	가공두유	180	g	76	0	0	0	1	0	0	0	0	0
개척1호콩으로 진하게 짜낸 두유	가공두유	180	g	81	0	0	0	1	0	0	0	0	0
베지밀에이스두유	가공두유	180	mL	106	0	6	0	4	160	0	0	0	0
이롬 황성주 국산콩 담백한 두유 검은콩과 검은참깨	가공두유	180	g	85	3	3.1	11	4	105	0	0	0.5	0
이롬 황성주 국산콩 담백한 두유 검은콩과 17곡	가공두유	180	g	85	3	3.1	11	4	105	0	0	0.5	0
남양 맛있는 두유 GT 고소한 검은콩	가공두유	180	mL	110	4	5	12	8	170	0	0	1.2	0
맷돌로 갈아만든 국산검은콩검정깨두유	가공두유	185	g	85	5	0.6	16	8	60	0	0	0	0
국산 발아콩 고칼슘 두유	가공두유	190	g	115	0	0	0	8	0	0	0	0	0
이롬 황성주 국산콩 두유 호두와 아몬드	가공두유	190	g	120	0	0	0	10	0	0	0	0	0
맛있게 든든한 고칼슘두유	가공두유	190	g	120	0	0	0	9	0	0	0	0	0
검은깨 콩두유	가공두유	190	g	125	0	0	0	10	0	0	0	0	0
담백한 두유 베지밀 에이	가공두유	190	g	110	0	0	0	6	0	0	0	0	0
달콤한 삼육두유B	가공두유	190	g	125	0	0	0	10	0	0	0	0	0
베지밀 검은콩&16곡 두유팩	가공두유	190	g	115	0	0	0	10	0	0	0	0	0
유기농 콩을 통째로 갈아만든 전두유 치아씨드&아몬드	가공두유	190	g	85	6	4.7	6	4	150	0	0	0.8	0
유기농 콩을 통째로 갈아만든 전두유 통곡물	가공두유	190	g	80	5	3.7	7	4	150	0	0	0.6	0
이롬 황성주 국산콩 닥터 C 무가당 두유	가공두유	190	g	65	5	3	5	0	100	0	0	0.4	0
이롬 황성주 발아약콩 두유	가공두유	190	g	140	8	6	13	5	160	0	0	1.2	0
통째로 갈아 만든 유기농두유	가공두유	190	g	95	4	1.8	15	10	110	0	0	0	0
내몸애 검은콩두유	가공두유	190	g	90	4	3.8	12	10	127	0	0	0.3	0
맛있는 두유 GT 달콤한맛	가공두유	190	g	130	5.5	6.5	12	8	160	0	0	1.4	0
삼육두유검은콩칼슘	가공두유	190	mL	140	0	6	0	10	180	0	0	0	0
베지밀검은콩두유고칼슘	가공두유	190	mL	130	6	5	0	10	150	0	0	1	0
담백한베지밀에이	가공두유	190	mL	110	6	6	8	6	160	0	0	1.5	0
삼육두유A	가공두유	190	mL	125	0	7	0	6	190	0	0	0	0
베지밀아몬드와호두두유	가공두유	190	mL	120	0	5	15	8.5	170	0	0	0	0
이롬황성주국산콩두유검은콩	가공두유	190	mL	100	0	4.9	0	7	160	0	0	0	0
삼육두유 발아현미 19곡	가공두유	190	mL	120	0	4	17	10	160	0	0	0	0
베지밀검은콩&검은참깨두유	가공두유	190	mL	125	0	6	0	10	160	0	0	0	0
삼육두유 고소한 검은참깨	가공두유	190	mL	120	0	5	0	10	200	0	0	0	0
삼육두유 검은콩참깨	가공두유	190	mL	145	0	7	0	11	180	0	0	0	0
베지밀검은참깨고칼슘두유	가공두유	190	mL	130	6	6	0	8	115	0	0	1	0
삼육검은콩두유	가공두유	190	mL	140	0	6	0	10	180	0	0	0	0
삼육두유 검은참깨 고칼슘	가공두유	190	mL	140	6	6	0	9	219	0	0	1.2	0
삼육두유	가공두유	190	mL	125	0	7	0	6	200	0	0	0	0
맛있는 두유 T 담백한맛	가공두유	190	mL	120	0	6.5	0	6.5	160	0	0	0	0
맛있는 두유 T 검은콩깨	가공두유	190	mL	135	0	6.3	0	8.5	160	0	0	0	0
이롬 황성주 발아약콩 두유	가공두유	190	mL	140	0	6	0	5	160	0	0	0	0
달콤한삼육두유B	가공두유	190	mL	125	0	6	0	10	200	0	0	0	0
뼈를생각한 고칼슘두유 검은콩	가공두유	190	mL	100	0	5.1	0	7	150	0	0	0	0
맛있는 두유 T 달콤한맛	가공두유	190	mL	130	0	6.5	0	8	160	0	0	0	0
검은깨콩두유	가공두유	190	mL	130	0	6	0	10	190	0	0	0	0
이롬황성주국산콩두유호두와아몬드	가공두유	190	mL	120	0	6	0	10	180	0	0	0	0
뼈를생각한 고칼슘두유 호두&아몬드	가공두유	190	mL	100	0	5.1	0	7	150	0	0	0	0
달콤한베지밀비검은콩두유	가공두유	190	mL	130	6	6.5	0	10	120	0	0	1.5	0
삼육고칼슘두유	가공두유	190	mL	120	6	6	0	10	219	0	0	1.1	0
오리지널 약콩두유	가공두유	190	mL	75	0	3.5	0	1	130	0	0	0	0
이롬황성주국산콩두유검은콩과17곡	가공두유	190	mL	115	0	4.2	0	10	180	0	0	0	0
베지밀17곡한끼두유	가공두유	190	mL	115	5	3.5	0	11	130	0	0	1	0
삼육두유 국산검은콩	가공두유	190	mL	140	0	6	0	9	180	0	0	0	0
베지밀검은참깨두유	가공두유	190	mL	125	0	6	0	10	160	0	0	0	0
베지밀5060시니어두유	가공두유	190	mL	120	0	6	0	7.5	100	0	0	0	0
검은콩 검은깨 칼슘두유	가공두유	190	mL	115	0	6	0	10	130	0	0	0	0
후디스검은콩검은깨흑미고칼슘두유	가공두유	190	mL	140	0	7	0	7	200	0	0	0	0
남양 진콩두유	가공두유	190	mL	130	0	7	0	6	190	0	0	0	0
담백한베지밀에이검은콩두유	가공두유	190	mL	115	6	6.5	0	6	120	0	0	1.5	0
베지밀검은콩과16곡두유	가공두유	190	mL	115	0	4	0	10	130	0	0	0	0
베지밀과일이꼭꼭씹히는애플망고두유	가공두유	190	mL	115	0	1	0	24	45	0	0	0	0
베지밀국산콩두유검은콩	가공두유	190	mL	125	0	6	0	10	150	0	0	0	0
베지밀뼈에좋은칼슘두유검은콩	가공두유	190	mL	125	0	5	0	11	110	0	0	0	0
순수두유	가공두유	190	mL	110	0	6	0	8	150	0	0	0	0
삼육두유검은참깨	가공두유	190	mL	120	0	6	0	8	190	0	0	0	0
베지밀비달콤한고칼슘두유	가공두유	190	mL	130	0	7	0	10	150	0	0	1.5	0
배로 맛있는! 약콩두유	가공두유	190	mL	80	0	3.5	0	3	100	0	0	0	0
우리콩두유 검은콩	가공두유	190	mL	95	0	4.2	0	6	160	0	0	0	0
베지밀검은콩두유	가공두유	190	mL	120	0	6	0	10	170	0	0	0	0
이롬 황성주 국산콩 두유 우리땅 17곡	가공두유	190	mL	110	0	5	0	8	180	0	0	0	0
고소한 삼육두유A	가공두유	190	mL	125	0	7	0	8	190	0	0	0	0
삼육두유 콩국	가공두유	190	mL	80	0	3.8	0	4	175	0	0	0	0
이롬황성주국산콩두유검은콩깨쌀	가공두유	190	mL	100	0	4.1	0	7	130	0	0	0	0
베지밀에이담백한고칼슘두유	가공두유	190	mL	120	0	7	0	6	150	0	0	1.5	0
베지밀고칼슘두유	가공두유	190	mL	125	6	6.5	11	8	160	0	1	1.5	0
고소한 두유	가공두유	190	mL	120	0	6	0	9	200	0	0	0	0
맛있는 두유 T 검은콩+17곡	가공두유	190	mL	120	0	5	0	9	150	0	0	0	0
베지밀국산콩두유검은콩검은깨검은쌀	가공두유	190	mL	100	0	3	0	10	120	0	0	0	0
검은콩 두유	가공두유	190	mL	115	0	4.5	0	9	140	0	0	0	0
원두밀 플러스	가공두유	190	mL	120	0	7	0	8	120	0	0	0	0
베지밀뼈에좋은칼슘두유땅콩아몬드호두잣	가공두유	190	mL	115	0	4	0	8	140	0	0	0	0
이롬 황성주 국산콩 담백한 두유 검은콩과 검은참깨	가공두유	190	mL	100	0	3.5	0	5	270	0	0	0	0
완全(전)두유 국산콩 검은콩 고칼슘	가공두유	190	mL	80	0	2.3	0	7	120	0	0	0	0
우리콩두유 잣	가공두유	190	mL	95	0	4.4	0	6	160	0	0	0	0
칼슘이가득한검은깨검은콩두유	가공두유	190	mL	145	0	7	0	13	210	0	0	0	0
베지밀뼈에좋은칼슘두유검은콩검은깨검은쌀	가공두유	190	mL	130	0	5	0	14	140	0	0	0	0
베지밀진하고고소한두유	가공두유	190	mL	140	0	8	0	5	170	0	0	0	0
삼육두유검은콩&칼슘	가공두유	190	mL	140	0	6	0	10	180	0	0	0	0
완全(전)두유 국산콩 검은콩 21곡	가공두유	190	mL	95	0	2.8	0	6	120	0	0	0	0
맛있는 두유 T 검은콩깨 1/2칼로리	가공두유	190	mL	59	0	2.7	0	2	190	0	0	0	0
콩을통째로갈아만든전두유검은콩검은참깨	가공두유	190	mL	115	0	5	0	10	150	0	0	0	0
고구마, 호박에게바나나	가공두유	190	mL	100	0	2	18	12	160	0	0	0	0
베지밀하루건강칼로리컷두유	가공두유	190	mL	75	0	2.3	0	6.2	140	0	0	0	0
이롬황성주국산콩두유검은콩과검은참깨	가공두유	190	mL	105	0	4.3	0	6	150	0	0	0	0
베지밀우리16곡두유	가공두유	190	mL	120	0	5	13	10	120	0	0	0	0
이롬 황성주 국산콩 닥터 C 무가당 두유	가공두유	190	mL	65	0	3	0	0	100	0	0	0	0
SoyU(쏘유)검은콩	가공두유	190	mL	120	0	0	0	10	160	0	0	0	0
서리태 97	가공두유	190	mL	105	0	3.5	0	4	140	0	0	0	0
완全(전)두유 국산콩 검은콩	가공두유	190	mL	90	0	3.3	0	7	120	0	0	0	0
완全(전)두유 국산콩 호두와 아몬드	가공두유	190	mL	82	0	2.9	0	7	120	0	0	0	0
고칼슘 쌀눈두유	가공두유	190	mL	86	0	4	0	5	150	0	0	0	0
건국 무첨가 두유	가공두유	190	mL	80	0	3.7	0	1	65	0	0	0	0
이롬 황성주 국산콩 닥터 B 두유	가공두유	190	mL	105	0	4.5	0	10	110	0	0	0	0
쌀눈으로 더 똑똑한! 약콩두유	가공두유	190	mL	95	0	3.6	0	4	105	0	0	0	0
황성주 국산콩 닥터 햄프씨드 두유	가공두유	190	mL	85	0	3.9	0	7	65	0	0	0	0
베지밀말차두유	가공두유	190	mL	125	0	5	0	12	165	0	0	0	0
전두유 블랙7	가공두유	190	mL	90	0	3	0	5	130	0	0	0	0
이롬 황성주 국산콩 두유 프리미엄	가공두유	190	mL	95	0	4.5	0	7	140	0	0	0	0
삼육두유 국산콩	가공두유	190	mL	105	0	3	0	7	190	0	0	0	0
전두유 약콩	가공두유	190	mL	87	0	3.1	0	7	115	0	0	0	0
고소한 미숫가루두유	가공두유	190	g	140	3	2	27	16	160	0	0	0	0
총각네 무가당 두유	가공두유	190	g	85	5	6	2	0	105	0	0	1.2	0
소이타임하얀콩	가공두유	190	mL	125	8	5	12	8	120	0	0	0.7	0
소이타임하얀콩 24입	가공두유	190	mL	125	8	5	12	8	120	0	0	0.7	0
SoyU(쏘유) 플레인	가공두유	190	mL	115	6	0	0	7	150	0	0	2.3	0
맛있는 두유 GT 달콤한맛	가공두유	190	g	130	5.5	6.5	12	8	160	0	0	1.4	0
진콩두유	가공두유	190	mL	130	6	7	11	6	190	0	0	1.7	0
맛있는 두유 T 담백한맛	가공두유	190	mL	120	5.5	6.5	10	6.5	160	0	0	1.4	0
맛있는 두유 T 검은콩깨	가공두유	190	mL	135	5	6.3	15	8.5	160	0	0	1.4	0
맛있는 두유 T 달콤한맛	가공두유	190	mL	130	5.5	6.5	12	8	160	0	0	1.4	0
남양 진콩두유	가공두유	190	mL	130	6	7	11	6	190	0	0	1.7	0
맛있는 두유 T 검은콩+17곡	가공두유	190	mL	130	5	6	14	9	150	0	0	1.2	0
맛있는 두유 T 검은콩깨 1/2칼로리	가공두유	190	mL	59	0	2.7	0	2	190	0	0	0	0
검은깨콩 두유	가공두유	190	mL	130	6	6	13	10	203.01	0	0	1.39	0
맛있는 두유 GT 검은콩+17곡	가공두유	190	mL	120	0	0	0	9	150	0	0	1.2	0
매일두유 초콜릿	가공두유	190	mL	150	0	0	0	22	93	0	0	1.7	0
내몸애두유 검은콩	가공두유	195	g	95	0	0	0	5	0	0	0	0	0
자연드림 우리콩두유	가공두유	195	g	90	0	0	0	4	0	0	0	0	0
고소한검은콩&고칼슘두유	가공두유	195	g	145	7	5	18	10	170	0	0	1.2	0
검은콩두유(달콤한맛)	가공두유	195	mL	115	8	2.9	14	5	250	0	0	0	0
검은콩두유(달콤한맛)	가공두유	195	mL	115	8	2.9	14	5	250	0	0	0	0
검은콩두유(담백한맛)	가공두유	195	mL	115	7	3.5	10	3	220	0	0	0	0
검은콩두유(담백한맛)	가공두유	195	mL	115	7	3.5	10	3	220	0	0	0	0
검은콩두유(우리콩식품)	가공두유	195	mL	135	7	6	13	4	290	0	0	0.6	0
오곡두유 박스	가공두유	195	mL	125	6	3.2	18	5	230	0	0	0.4	0
오곡두유	가공두유	195	mL	125	6	3.2	18	5	230	0	0	0.4	0
우리콩두유(우리콩식품)	가공두유	195	mL	90	7	2.7	9	4	220	0	0	1	0
고소한 베지밀	가공두유	200	g	260	12	16	16	10.53	480	0	0	0	0
박사두유	가공두유	200	g	240	14	14.4	18.4	0	200	0	0	0	0
베지밀 네오인펀트	가공두유	200	g	280	8	14	30	0	80	0	0	0	0
베지밀 바나나맛	가공두유	200	g	220	8	4	40	0	320	0	0	0	0
베지밀 비 팩	가공두유	200	g	252	12	12	24	21.05	400	0	0	0	0
베지밀 어덜트	가공두유	200	g	232	12	12	18	0	480	0	0	0	0
베지밀 에이 팩	가공두유	200	g	220	12	12	16	12.63	400	0	0	0	0
베지밀 유스	가공두유	200	g	180	12	8	16	0	320	0	0	0	0
베지밀 인펀트	가공두유	200	g	300	10	12	32	12.63	120	0	0	0	0
베지밀 초코	가공두유	200	g	260	8	8	40	0	260	0	0	0	0
베지밀 토들러	가공두유	200	g	280	10	14	28	12.63	220	0	0	0	0
엘리트 베지밀	가공두유	200	g	288	14.4	16.4	20.4	12.28	512	0	0	0	0
연세두유	가공두유	200	g	256	13.6	15.2	15.6	14	244	0	0	0	0
원두밀	가공두유	200	g	180	12	8	16	16.84	80	0	0	0	0
참맛두유	가공두유	200	g	248	14	14	18.8	18.74	268	0	0	0	0
팬다빈나나	가공두유	200	g	220	8	4	40	0	320	0	0	0	0
팬다빈러플	가공두유	200	g	220	4	2	48	0	260	0	0	0	0
팬다빈베리	가공두유	200	g	232	8	4	42	0	220	0	0	0	0
팬다빈쵸쵸	가공두유	200	g	260	8	8	40	0	260	0	0	0	0
검은깨콩 두유	가공두유	200	g	133.56	6.41	6.41	13.89	21.05	203.01	0	0	1.39	0
검은콩 두유 고칼슘 베지밀	가공두유	200	g	133.05	5.47	5.47	13.26	20.51	221.68	0	0	1.05	0
남양 맛있는 두유 GT 고소한 검은콩	가공두유	200	g	253	9.2	13.8	27.6	20.51	21.85	0	0	2.76	0
남양 맛있는 두유 GT 고소한 검은콩깨	가공두유	200	g	270.4	10.4	12.48	29.12	21.05	20.8	0	0	2.91	0
남양 맛있는 두유 GT 순한맛	가공두유	200	g	249.6	11.44	12.48	22.88	18.74	17.68	0	0	2.91	0
남양 맛있는 두유 고칼슘 검은콩깨	가공두유	200	g	270.4	12.48	12.48	27.04	21.05	20.8	0	0	2.91	0
남양 맛있는 두유 담백한맛	가공두유	200	g	268.32	12.38	14.45	22.7	18.74	18.58	0	0	2.89	0
내손안의 콩두유 검은콩	가공두유	200	g	251.2	10.8	10.8	28.8	20.51	358.8	0	0	1.6	0
내손안의 콩두유 아셉시스글로벌	가공두유	200	g	251.2	10.8	8.8	32.4	18.74	322.8	0	0	1.6	0
내콩두유 검은콩	가공두유	200	g	117.96	5.24	5.24	13.11	20.51	183.49	0	0	1.31	0
내콩두유 고소한 맛	가공두유	200	g	113.59	6.12	5.24	12.23	21.46	192.22	0	0	1.66	0
달콤한 베지밀 비	가공두유	200	g	133.05	6.74	6.74	12.21	21.05	232.63	0	0	1.68	0
담백한 베지밀 에이	가공두유	200	g	121.89	6.74	6.74	8.84	12.63	232.63	0	0	1.05	0
당프로젝트 베지밀 에이스	가공두유	200	g	110.74	6.74	5.47	7.79	18.74	221.68	0	0	1.05	0
맛있는 두유 GT 검은콩+17곡	가공두유	200	g	262.74	10.95	10.95	30.65	21.05	18.61	0	0	2.63	0
맛있는 두유 GT 담백한맛	가공두유	200	g	260.72	11.95	13.04	23.9	18	17.38	0	0	3.04	0
맛있는 두유 GT	가공두유	200	g	261.98	10.92	13.1	26.2	18.74	18.56	0	0	2.62	0
맛있는두유GT키즈	가공두유	200	g	233.32	10	7.76	33.32	18.74	244.44	0	0	2.24	0
맛있는콩 두유 연세우유	가공두유	200	g	232.8	11.6	11.6	19.2	21.46	290.8	0	0	2	0
맛콩두유	가공두유	200	g	116.39	5.82	5.82	9.7	21.46	145.49	0	0	1.07	0
베지밀 17곡 한끼두유	가공두유	200	g	127.37	5.47	3.79	17.68	16.84	144	0	0	1.05	0
베지밀 검은참깨 두유 파우치	가공두유	200	g	138.53	6.74	6.74	13.26	16.84	177.26	0	0	1.05	0
베지밀 검은참깨 두유	가공두유	200	g	138.53	6.74	6.74	13.26	16.84	177.26	0	0	1.05	0
베지밀 검은콩	가공두유	200	g	133.05	5.47	6.74	13.26	20.51	188.42	0	0	1.05	0
베지밀 검은콩과 16곡 두유	가공두유	200	g	127.37	6.74	4.42	15.58	21.05	177.26	0	0	1.05	0
베지밀 검은콩과 검은참깨 두유 파우치	가공두유	200	g	138.53	6.74	6.74	13.26	21.05	177.26	0	0	1.05	0
베지밀 검은콩과 검은참깨 두유 팩	가공두유	200	g	133.05	6.74	6.74	13.26	21.05	177.26	0	0	1.05	0
베지밀 그린티 두유 라떼	가공두유	200	g	110.74	4.42	4.42	14.32	20.36	133.05	0	0	2.32	0
베지밀 비	가공두유	200	g	138.53	6.74	6.74	12.21	21.05	166.11	0	0	1.68	0
베지밀 애플	가공두유	200	g	110.4	1.4	1.4	22	44.12	41.4	0	0	0	0
베지밀 에이	가공두유	200	g	127.37	6.74	6.74	8.84	12.63	166.11	0	0	1.68	0
베지밀 오렌지망고 두유	가공두유	200	g	105.26	1.05	1.05	22.11	18.74	44.42	0	0	0	0
베지밀 옥수수 두유	가공두유	200	g	127.37	6.74	4	17.68	18.74	199.37	0	0	0.63	0
베지밀 입안가득 멜론	가공두유	200	g	130	4	2.6	23	18.74	90	0	0	0.6	0
베지밀 입안가득 바나나	가공두유	200	g	140	4	3	24	20	100	0	0	0.6	0
베지밀 자연담은 진한두유	가공두유	200	g	148.22	8.67	9.78	9.78	7.33	185.11	0	0	1.33	0
베지밀 칼슘가득 두유 검은콩 검은깨 검은쌀	가공두유	200	g	144	6.74	5.47	18.74	21.05	155.16	0	0	1.05	0
베지밀 칼슘가득 두유 땅콩, 아몬드, 호두, 잣	가공두유	200	g	127.37	6.74	4.42	15.58	18.74	155.16	0	0	1.05	0
베지밀 파인애플 두유	가공두유	200	g	105.26	1.05	1.05	22.11	18.74	66.53	0	0	0	0
베지밀 검은콩 고칼슘 두유 파우치	가공두유	200	g	130.74	5.47	5.47	13.26	20.51	155.16	0	0	3.37	0
베지밀 아몬드와 호두	가공두유	200	g	133.05	6.74	5.47	16.63	18.74	188.42	0	0	1.05	0
베지밀 칼슘가득 두유 검은깨, 검은쌀	가공두유	200	g	273.6	12.8	10.4	35.6	16.84	294.8	0	0	2	0
뽀로로와 패티 베지밀 블루베리	가공두유	200	g	204.8	2.56	1.6	38.4	18.74	76.8	0	0	0	0
뽀로로와 루피 베지밀	가공두유	200	g	137.47	4	3.79	22.11	17.68	110.74	0	0	1.05	0
뽀로로와 크롱 베지밀	가공두유	200	g	144	4	2.32	26.53	20	121.89	0	0	0.63	0
삼육두유 순하고 부드러운 검은콩 두유 	가공두유	200	g	250.8	12.4	11.6	25.2	20.51	366.8	0	0	2	0
삼육두유 순하고 부드러운 두유 	가공두유	200	g	251.2	12.4	11.6	23.2	16.84	367.2	0	0	2	0
삼육두유 순하고 부드러운 아몬드 두유	가공두유	200	g	251.2	12.4	11.6	25.2	18.74	367.2	0	0	2	0
오두유 검은콩	가공두유	200	g	500	20	24	52	20.51	920	0	0	6	0
오트밀두유 베지밀	가공두유	200	g	77.47	4.42	2.74	8.84	18.74	232.63	0	0	0.63	0
원두밀 플러스	가공두유	200	g	500	20	24	48	16.84	560	0	0	12	0
진콩두유	가공두유	200	g	282.44	13.04	15.21	23.9	18.74	20.64	0	0	3.69	0
진한 콩국물	가공두유	200	g	85	7	5	3	15.96	65	0	0	1	0
진한 콩국물 검은콩	가공두유	200	g	105	8	5	7	20.51	400	0	0	2	0
카페 소야 마일드	가공두유	200	g	115.79	3.16	4	17.89	32	189.47	0	0	2.74	5.26
칼슘가득 베지밀 아몬드 두유	가공두유	200	g	121.89	6.74	4.42	14.32	18.74	177.26	0	0	1.05	0
칼슘이 가득한 검은깨 검은콩 두유	가공두유	200	g	580	20	28	60	20.51	880	0	0	8	0
빙그레 맛있는 콩두유	가공두유	200	mL	120	6	6	10	7	150	0	0	1.1	0
고소한연세두유	가공두유	200	mL	115	0	6.4	0	7	150	0	0	0	0
고소한아몬드&잣두유	가공두유	200	mL	130	0	5	0	7	200	0	0	0	0
아침에두유	가공두유	200	mL	120	0	4.6	0	8	170	0	0	0	0
연세대학교 검은참깨두유	가공두유	200	mL	130	0	6	0	3	200	0	0	0	0
Smart 두유 365	가공두유	200	mL	115	0	6.4	0	7	150	0	0	0	0
연세 고칼슘 두유	가공두유	200	mL	130	0	6	0	6	160	0	0	0	0
삼육두유 검은콩참깨 병	가공두유	200	mL	155	0	7	0	12	190	0	0	0	0
연세 검은콩두유	가공두유	200	mL	130	0	6	0	3	200	0	0	0	0
푸르밀 두유	가공두유	200	mL	120	6	6	0	7	150	0	0	0	0
참두유 검은콩	가공두유	200	mL	119	0	0	0	9	150	0	0	0	0
콩을통째로갈아만든전두유검은콩	가공두유	200	mL	120	0	5	0	11	150	0	0	0	0
순하고 부드러운 검은콩두유	가공두유	200	mL	130	0	6	0	10	190	0	0	0	0
베지밀입안가득바나나두유팩	가공두유	200	mL	140	0	3	0	20	100	0	0	0	0
콩을통째로갈아만든전두유7곡선식	가공두유	200	mL	120	0	5	0	9	160	0	0	0	0
순하고 부드러운 아몬드두유	가공두유	200	mL	130	0	6	0	10	190	0	0	0	0
뚜레쥬르가 만든 검은콩참깨 두유	가공두유	200	mL	155	7	0	0	12	190	0	0	2	0
남양 맛있는 두유 GT 고소한 검은콩깨	가공두유	200	mL	130	5	6.5	13	10	190	0	0	1.4	0
남양 맛있는 두유 GT 순한맛	가공두유	200	mL	120	5.5	6	11	8	170	0	0	1.4	0
남양 맛있는 두유 고칼슘 검은콩깨	가공두유	200	g	270.4	12.48	12.48	27.04	21.05	20.8	0	0	2.91	0
남양 맛있는 두유 담백한맛	가공두유	200	g	268.32	12.38	14.45	22.7	18.74	18.58	0	0	2.89	0
맛있는 두유 GT 검은콩+17곡	가공두유	200	g	262.74	10.95	10.95	30.65	21.05	18.61	0	0	2.63	0
맛있는 두유 GT 담백한맛	가공두유	200	g	260.72	11.95	13.04	23.9	18	17.38	0	0	3.04	0
맛있는 두유 GT	가공두유	200	g	261.98	10.92	13.1	26.2	18.74	18.56	0	0	2.62	0
맛있는두유GT키즈	가공두유	200	g	233.32	10	7.76	33.32	18.74	244.44	0	0	2.24	0
내손안의 콩두유 검은콩	가공두유	200	g	251.2	10.8	10.8	28.8	20.51	358.8	0	0	1.6	0
내손안의 콩두유 아셉시스글로벌	가공두유	200	g	251.2	10.8	8.8	32.4	18.74	322.8	0	0	1.6	0
내콩두유 검은콩	가공두유	200	g	117.96	5.24	5.24	13.11	20.51	183.49	0	0	1.31	0
내콩두유 고소한 맛	가공두유	200	g	113.59	6.12	5.24	12.23	21.46	192.22	0	0	1.66	0
맛있는콩 두유	가공두유	200	mL	120	6	6	10	7	290.8	0	0	2	0
맛콩두유	가공두유	200	g	116.39	5.82	5.82	9.7	21.46	145.49	0	0	1.07	0
순하고 부드러운 검은콩 두유 	가공두유	200	mL	130	6.5	6	13	10	366.8	0	0	2	0
삼육두유 순하고 부드러운 두유 	가공두유	200	g	251.2	12.4	11.6	23.2	16.84	367.2	0	0	2	0
순하고 부드러운 아몬드 두유	가공두유	200	mL	130	6.5	6	13	10	367.2	0	0	2	0
버터후레시	가공버터	10	g	72	0	0	0	0	45	0	0	5	0
진심을 담은 버터 스프레더블	가공버터	100	g	740	0	81	2	0	540	0	0	38	2.4
소금을 넣지 않은 쿠킹버터	가공버터	100	g	760	0	83	2	1	10	0	210	62	4.2
모닝버터	가공버터	100	g	431	2	44.8	3.1	0	214	0	0	0	0
남양 드빈치 버터	가공버터	100	g	745	0.6	82	1	0.24	12	0	230	59	1.8
마늘버터	가공버터	100	g	745	1	82	1	0	500	0	0	0	0
남양 드빈치 버터	가공버터	100	g	745	0.6	82	1	0.24	12	0	230	59	1.8
소금을 넣지 않은 쿠킹버터	가공버터	100	g	760	0	0	0	1	10	0	0	0	0
파스퇴르 프리미엄 홈버터	가공버터	100	g	733	0	0	0	0	50	0	0	0	0
식물성 아침에버터	가공버터	100	g	750	0	0	0	1	710	0	0	0	0
남양 드빈치버터	가공버터	450	g	3350	0	0	0	3	90	0	0	0	0
서울연유	가공연유	200	g	1440	32	44	228	196	600	0	100	28	0
연유	가공연유	200	g	1360	32	36	228	196	600	0	0	0	0
초코레떼	가공유	75	g	135	1	8	14	12	60	0	3	6	0
얼려먹으니 더 좋은 수박우유	가공유	100	g	115	2	5	15	14	60	0	10	4	0
앙팡	가공유	100	g	65	3.3	4	4.5	4.5	50	0	15	2.5	0
내코코아	가공유	100	g	66	1.8	2	10.8	0	28	0	0	0	0
네스퀵 딸기맛	가공유	100	g	400	0	0	99.7	82.35	39	0	0	0	0
